00_NS;elk-platform-logging;Kibana;1;1;EQUAL
00_NS;elk-platform-logging;PersistentVolumeClaim;2;2;EQUAL
00_NS;elk-platform-logging;Pod;9;9;EQUAL
00_NS;elk-platform-logging;PodDisruptionBudget;1;1;EQUAL
00_NS;elk-platform-logging;PodMetrics;8;8;EQUAL
00_NS;elk-platform-logging;Secret;25;25;EQUAL
00_NS;elk-platform-logging;Service;5;5;EQUAL
00_NS;elk-platform-logging;ServiceAccount;2;2;EQUAL
00_NS;elk-platform-logging;StatefulSet;1;1;EQUAL
00_NS;gke-connect;ConfigMap;2;2;EQUAL
00_NS;gke-connect;Deployment;1;1;EQUAL
00_NS;gke-connect;Endpoints;1;1;EQUAL
00_NS;gke-connect;EndpointSlice;1;1;EQUAL
00_NS;gke-connect;Pod;1;1;EQUAL
00_NS;gke-connect;PodMetrics;1;1;EQUAL
00_NS;gke-connect;Role;3;3;EQUAL
00_NS;gke-connect;RoleBinding;3;3;EQUAL
00_NS;gke-connect;Secret;4;4;EQUAL
00_NS;gke-connect;Service;1;1;EQUAL
00_NS;gke-connect;ServiceAccount;2;2;EQUAL
00_NS;gke-system;ConfigMap;6;6;EQUAL
00_NS;gke-system;Deployment;2;2;EQUAL
00_NS;gke-system;Endpoints;2;2;EQUAL
00_NS;gke-system;EndpointSlice;2;2;EQUAL
00_NS;gke-system;HorizontalPodAutoscaler;2;2;EQUAL
00_NS;gke-system;Pod;4;4;EQUAL
00_NS;gke-system;PodDisruptionBudget;2;2;EQUAL
00_NS;gke-system;PodMetrics;4;4;EQUAL
00_NS;gke-system;Role;1;1;EQUAL
00_NS;gke-system;RoleBinding;1;1;EQUAL
00_NS;gke-system;Secret;12;12;EQUAL
00_NS;gke-system;Service;2;2;EQUAL
00_NS;gke-system;ServiceAccount;3;3;EQUAL
00_NS;istio-system;Certificate;2;2;EQUAL
00_NS;istio-system;CertificateRequest;2;2;EQUAL
00_NS;istio-system;ConfigMap;24;24;EQUAL
00_NS;istio-system;Deployment;6;6;EQUAL
00_NS;istio-system;Endpoints;6;6;EQUAL
00_NS;istio-system;EndpointSlice;6;6;EQUAL
00_NS;istio-system;EnvoyFilter;8;8;EQUAL
00_NS;istio-system;HorizontalPodAutoscaler;3;3;EQUAL
00_NS;istio-system;IstioOperator;1;1;EQUAL
00_NS;istio-system;Order;2;2;EQUAL
00_NS;istio-system;PeerAuthentication;1;1;EQUAL
00_NS;istio-system;Pod;6;6;EQUAL
00_NS;istio-system;PodDisruptionBudget;3;3;EQUAL
00_NS;istio-system;PodMetrics;6;6;EQUAL
00_NS;istio-system;Role;3;3;EQUAL
00_NS;istio-system;RoleBinding;3;3;EQUAL
00_NS;istio-system;Secret;10;10;EQUAL
00_NS;istio-system;Service;6;6;EQUAL
00_NS;istio-system;ServiceAccount;7;7;EQUAL
00_NS;k8s-dashboard;ConfigMap;3;3;EQUAL
00_NS;k8s-dashboard;Deployment;3;3;EQUAL
00_NS;k8s-dashboard;Endpoints;3;3;EQUAL
00_NS;k8s-dashboard;EndpointSlice;3;3;EQUAL
00_NS;k8s-dashboard;Gateway;1;1;EQUAL
00_NS;k8s-dashboard;Pod;3;3;EQUAL
00_NS;k8s-dashboard;PodMetrics;3;3;EQUAL
00_NS;k8s-dashboard;Role;1;1;EQUAL
